"MinTemp","MaxTemp","Rainfall","WindGustSpeed","WindSpeed9am","WindSpeed3pm","Humidity9am","Humidity3pm","Pressure9am","Pressure3pm","Cloud9am","Cloud3pm","Temp9am","Temp3pm","RainTomorrow"
"17.9","35.2","0.0","48.0","6.0","20.0","20.0","13.0","1006.3","1004.4","2.0","5.0","26.6","33.4","0"
"18.4","28.9","0.0","37.0","19.0","19.0","30.0","8.0","1012.9","1012.1","1.0","1.0","20.3","27.0","0"
"15.5","34.1","0.0","30.0","16.861751152073733","7.0","43.575268817204304","7.0","1012.4350230414742","1011.6","0.0","1.0","24.347926267281107","32.7","0"
"19.4","37.6","0.0","46.0","30.0","15.0","42.0","22.0","1012.3","1009.2","1.0","6.0","28.7","34.9","0"
"21.9","38.4","0.0","31.0","6.0","6.0","37.0","22.0","1012.7","1009.1","1.0","5.0","29.1","35.6","0"
"24.2","41.0","0.0","35.0","17.0","13.0","19.0","15.0","1010.7","1007.4","1.0","6.0","33.6","37.6","0"
"27.1","36.1","0.0","43.0","7.0","20.0","26.0","19.0","1007.7","1007.4","8.0","8.0","30.7","34.3","0"
"23.3","34.0","0.0","41.0","17.0","19.0","33.0","15.0","1011.3","1009.9","3.0","1.0","25.0","31.5","0"
"16.1","34.2","0.0","37.0","15.0","6.0","25.0","9.0","1013.3","1009.2","1.0","1.0","20.7","32.8","0"
"19.0","35.5","0.0","48.0","30.0","9.0","46.0","28.0","1008.3","1004.0","1.0","5.0","23.4","33.3","0"
"19.7","35.5","0.0","41.0","15.0","17.0","61.0","14.0","1007.9","1005.8","1.0","5.0","24.0","33.6","0"
"20.9","37.8","0.0","30.0","11.0","7.0","27.0","9.0","1012.6","1010.1","0.0","1.0","29.8","36.4","0"
"23.9","39.1","0.0","39.0","24.0","9.0","40.0","15.0","1013.6","1010.4","0.0","2.0","29.1","37.0","0"
"24.9","41.2","0.0","43.0","17.0","11.0","25.0","15.0","1012.9","1010.1","1.0","3.0","31.5","38.1","0"
"25.2","40.5","0.0","44.0","13.0","22.0","24.0","15.0","1012.4","1009.0","4.0","6.0","31.4","37.8","0"
"21.6","34.2","0.0","44.0","17.0","19.0","19.0","8.0","1014.1","1012.3","0.0","0.0","25.0","32.2","0"
"18.4","31.8","0.0","33.0","17.0","15.0","25.0","5.0","1016.3","1013.8","0.0","1.0","19.9","30.3","0"
