"Date","Location","MinTemp","MaxTemp","Rainfall","Evaporation","Sunshine","WindGustDir","WindGustSpeed","WindDir9am","WindDir3pm","WindSpeed9am","WindSpeed3pm","Humidity9am","Humidity3pm","Pressure9am","Pressure3pm","Cloud9am","Cloud3pm","Temp9am","Temp3pm","RainTomorrow"
"2009-01-01","Cobar","17.9","35.2","0","12","12.3","SSW",48,"ENE","SW",6,20,20,13,"1006.3","1004.4",2,5,"26.6","33.4","No"
"2009-01-02","Cobar","18.4","28.9","0","14.8","13","S",37,"SSE","SSE",19,19,30,8,"1012.9","1012.1",1,1,"20.3","27","No"
"2009-01-04","Cobar","19.4","37.6","0","10.8","10.6","NNE",46,"NNE","NNW",30,15,42,22,"1012.3","1009.2",1,6,"28.7","34.9","No"
"2009-01-05","Cobar","21.9","38.4","0","11.4","12.2","WNW",31,"WNW","WSW",6,6,37,22,"1012.7","1009.1",1,5,"29.1","35.6","No"
"2009-01-06","Cobar","24.2","41","0","11.2","8.4","WNW",35,"NW","WNW",17,13,19,15,"1010.7","1007.4",1,6,"33.6","37.6","No"
"2009-01-07","Cobar","27.1","36.1","0","13","0","N",43,"N","WNW",7,20,26,19,"1007.7","1007.4",8,8,"30.7","34.3","No"
"2009-01-08","Cobar","23.3","34","0","9.8","12.6","SSW",41,"S","SSE",17,19,33,15,"1011.3","1009.9",3,1,"25","31.5","No"
"2009-01-09","Cobar","16.1","34.2","0","14.6","13.2","SE",37,"SE","S",15,6,25,9,"1013.3","1009.2",1,1,"20.7","32.8","No"
"2009-01-10","Cobar","19","35.5","0","12","12.3","ENE",48,"ENE","WSW",30,9,46,28,"1008.3","1004",1,5,"23.4","33.3","No"
"2009-01-11","Cobar","19.7","35.5","0","11","12.7","NE",41,"NNE","WSW",15,17,61,14,"1007.9","1005.8",1,5,"24","33.6","No"
"2009-01-12","Cobar","20.9","37.8","0","12.8","13.2","E",30,"SE","ENE",11,7,27,9,"1012.6","1010.1",0,1,"29.8","36.4","No"
